Date,Customer Descriptive Name,Campaign,Ad group,Ad ID,Device,Impressions,Clicks,Cost,Conversions,Conversion value,Final URL
2025-07-02,ACME Inc.,Prospecting_Display,RLSA,ad_LXO6,Mobile,13466,125,11273.15,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-02,ACME Inc.,Prospecting_Display,DSA,ad_FF0T,Tablet,9192,307,26502.0,2,20000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-02,Beta Shop,Brand_JP_Search,Core,ad_V6OH,Desktop,12637,257,36531.23,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-02,Beta Shop,Brand_JP_Search,RLSA,ad_SDBD,Tablet,10562,283,16058.32,7,21000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-02,Beta Shop,Brand_JP_Search,DSA,ad_FYVN,Tablet,1302,52,5674.83,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-02,Beta Shop,Prospecting_Display,Core,ad_9T84,Desktop,16734,760,80979.39,16,88000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-02,Beta Shop,Prospecting_Display,RLSA,ad_YE51,Tablet,15620,265,25825.21,7,21000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-02,Beta Shop,Prospecting_Display,DSA,ad_MKFA,Tablet,16998,319,19960.14,10,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-03,ACME Inc.,Brand_JP_Search,Core,ad_5JSG,Desktop,10589,359,58159.61,10,55000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-03,ACME Inc.,Brand_JP_Search,RLSA,ad_5KXV,Desktop,10973,326,49891.57,10,100000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-03,ACME Inc.,Brand_JP_Search,DSA,ad_NF87,Desktop,2106,52,8035.15,2,20000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-03,ACME Inc.,Prospecting_Display,Core,ad_VREN,Mobile,6330,154,10948.64,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-03,ACME Inc.,Prospecting_Display,RLSA,ad_IIUC,Tablet,8794,178,20048.26,5,15000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-03,ACME Inc.,Prospecting_Display,DSA,ad_RC11,Desktop,14608,251,18715.22,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-03,Beta Shop,Brand_JP_Search,Core,ad_X8FS,Tablet,2436,45,2032.39,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-03,Beta Shop,Brand_JP_Search,RLSA,ad_PHT0,Desktop,15355,127,10034.33,4,40000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-03,Beta Shop,Brand_JP_Search,DSA,ad_ZOYN,Tablet,14749,183,19859.78,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-03,Beta Shop,Prospecting_Display,Core,ad_QICA,Tablet,5731,55,5046.34,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-03,Beta Shop,Prospecting_Display,RLSA,ad_IHCW,Desktop,3127,83,14747.38,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-03,Beta Shop,Prospecting_Display,DSA,ad_CBLS,Mobile,15887,653,39898.6,13,39000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-04,ACME Inc.,Brand_JP_Search,Core,ad_YHE7,Tablet,17843,363,25712.65,9,90000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-04,ACME Inc.,Brand_JP_Search,RLSA,ad_UIRO,Desktop,9138,195,10425.62,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-04,ACME Inc.,Brand_JP_Search,DSA,ad_DPPQ,Tablet,3185,137,18439.74,4,22000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-04,ACME Inc.,Prospecting_Display,Core,ad_BXXC,Tablet,15286,456,62658.88,5,27500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-04,ACME Inc.,Prospecting_Display,RLSA,ad_M5IG,Mobile,10008,288,22036.63,10,55000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-04,ACME Inc.,Prospecting_Display,DSA,ad_FGQ5,Desktop,7958,166,14755.63,4,40000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-04,Beta Shop,Brand_JP_Search,Core,ad_P5TB,Tablet,5299,239,35654.64,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-04,Beta Shop,Brand_JP_Search,RLSA,ad_4874,Desktop,6339,289,36096.12,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-04,Beta Shop,Brand_JP_Search,DSA,ad_OR56,Desktop,6392,225,9159.44,2,11000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-04,Beta Shop,Prospecting_Display,Core,ad_N9J2,Mobile,12769,465,61042.68,5,15000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-04,Beta Shop,Prospecting_Display,RLSA,ad_KZ02,Tablet,6499,107,9154.49,3,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-04,Beta Shop,Prospecting_Display,DSA,ad_ZFK8,Tablet,2018,70,8369.42,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-05,ACME Inc.,Brand_JP_Search,Core,ad_0CLB,Mobile,13557,240,17798.05,8,24000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-05,ACME Inc.,Brand_JP_Search,RLSA,ad_S4F8,Desktop,9554,432,55451.26,12,66000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-05,ACME Inc.,Brand_JP_Search,DSA,ad_4CC5,Mobile,7822,216,14544.15,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-05,ACME Inc.,Prospecting_Display,Core,ad_E6IV,Tablet,5442,217,10004.68,8,44000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-05,ACME Inc.,Prospecting_Display,RLSA,ad_CXUL,Mobile,11516,211,34538.41,6,18000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-05,ACME Inc.,Prospecting_Display,DSA,ad_HZIO,Tablet,4220,105,18409.83,4,12000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-05,Beta Shop,Brand_JP_Search,Core,ad_XQ77,Desktop,990,19,1267.82,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-05,Beta Shop,Brand_JP_Search,RLSA,ad_Q99C,Desktop,2616,61,9649.58,2,11000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-05,Beta Shop,Brand_JP_Search,DSA,ad_SEMC,Desktop,4663,71,9511.17,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-05,Beta Shop,Prospecting_Display,Core,ad_NF4Z,Tablet,17338,329,28016.69,10,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-05,Beta Shop,Prospecting_Display,RLSA,ad_93TY,Tablet,13333,291,23600.93,8,80000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-05,Beta Shop,Prospecting_Display,DSA,ad_KX7E,Desktop,11447,529,59030.02,10,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-06,ACME Inc.,Brand_JP_Search,Core,ad_60FK,Desktop,3168,29,2770.94,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-06,ACME Inc.,Brand_JP_Search,RLSA,ad_ZHWJ,Mobile,14203,447,45319.71,11,110000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-06,ACME Inc.,Brand_JP_Search,DSA,ad_J6BW,Mobile,17758,874,137611.9,27,81000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-06,ACME Inc.,Prospecting_Display,Core,ad_BME9,Desktop,10707,83,6843.95,2,6000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-06,ACME Inc.,Prospecting_Display,RLSA,ad_0TPA,Desktop,16128,684,53362.95,23,230000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-06,ACME Inc.,Prospecting_Display,DSA,ad_8YFB,Mobile,1676,24,2342.15,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-06,Beta Shop,Brand_JP_Search,Core,ad_UFEL,Desktop,5265,151,12867.3,4,40000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-06,Beta Shop,Brand_JP_Search,RLSA,ad_6HID,Tablet,14898,377,19220.93,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-06,Beta Shop,Brand_JP_Search,DSA,ad_5OWF,Desktop,6749,289,39719.12,5,27500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-06,Beta Shop,Prospecting_Display,Core,ad_5935,Desktop,17696,451,33180.17,3,9000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-06,Beta Shop,Prospecting_Display,RLSA,ad_G72O,Tablet,13575,640,82789.05,13,130000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-06,Beta Shop,Prospecting_Display,DSA,ad_53J2,Desktop,17764,585,57765.25,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-07,ACME Inc.,Brand_JP_Search,Core,ad_NBQH,Mobile,14084,159,13970.24,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-07,ACME Inc.,Brand_JP_Search,RLSA,ad_M35I,Tablet,14096,278,49242.55,2,11000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-07,ACME Inc.,Brand_JP_Search,DSA,ad_GL58,Mobile,3279,136,12033.63,2,6000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-07,ACME Inc.,Prospecting_Display,Core,ad_MSY4,Mobile,6681,221,28489.8,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-07,ACME Inc.,Prospecting_Display,RLSA,ad_7E8G,Mobile,12722,358,57247.27,9,90000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-07,ACME Inc.,Prospecting_Display,DSA,ad_BVM2,Mobile,17147,545,93539.57,12,66000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-07,Beta Shop,Brand_JP_Search,Core,ad_VSNU,Mobile,12738,437,45515.91,9,27000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-07,Beta Shop,Brand_JP_Search,RLSA,ad_BPS3,Tablet,6187,142,24788.47,5,15000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-07,Beta Shop,Brand_JP_Search,DSA,ad_Z0YN,Desktop,11436,177,16428.48,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-07,Beta Shop,Prospecting_Display,Core,ad_87WX,Desktop,2882,60,7908.07,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-07,Beta Shop,Prospecting_Display,RLSA,ad_ZKLO,Mobile,10617,223,17058.88,4,22000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-07,Beta Shop,Prospecting_Display,DSA,ad_ZTGX,Mobile,6545,220,35826.14,6,18000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-08,ACME Inc.,Brand_JP_Search,Core,ad_Y6WK,Tablet,12457,307,36715.0,7,70000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-08,ACME Inc.,Brand_JP_Search,RLSA,ad_4KH2,Tablet,5873,100,12127.62,3,9000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-08,ACME Inc.,Brand_JP_Search,DSA,ad_XQPH,Mobile,12843,319,46293.9,9,27000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-08,ACME Inc.,Prospecting_Display,Core,ad_280X,Mobile,14384,424,46435.87,7,21000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-08,ACME Inc.,Prospecting_Display,RLSA,ad_SWM3,Desktop,1498,16,759.81,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-08,ACME Inc.,Prospecting_Display,DSA,ad_YIHA,Desktop,4971,107,18612.88,3,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-08,Beta Shop,Brand_JP_Search,Core,ad_9W1Q,Tablet,6286,61,3223.15,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-08,Beta Shop,Brand_JP_Search,RLSA,ad_UZNO,Desktop,8451,403,60200.72,3,9000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-08,Beta Shop,Brand_JP_Search,DSA,ad_XA11,Desktop,11974,597,28549.71,16,48000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-08,Beta Shop,Prospecting_Display,Core,ad_2H2Z,Mobile,5130,190,33366.14,5,27500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-08,Beta Shop,Prospecting_Display,RLSA,ad_BI4Q,Mobile,3339,147,23135.93,2,11000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-08,Beta Shop,Prospecting_Display,DSA,ad_Y9V8,Mobile,14607,642,104806.75,7,70000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-09,ACME Inc.,Brand_JP_Search,Core,ad_WZS3,Tablet,5112,164,14601.01,4,40000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-09,ACME Inc.,Brand_JP_Search,RLSA,ad_QF5Q,Desktop,7388,167,23164.87,2,20000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-09,ACME Inc.,Brand_JP_Search,DSA,ad_4J1R,Desktop,16285,451,18756.87,8,44000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-09,ACME Inc.,Prospecting_Display,Core,ad_JCKJ,Mobile,13916,587,84639.31,15,82500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-09,ACME Inc.,Prospecting_Display,RLSA,ad_6CFN,Desktop,1304,29,2319.99,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-09,ACME Inc.,Prospecting_Display,DSA,ad_ZCOT,Mobile,14228,688,28690.72,23,69000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-09,Beta Shop,Brand_JP_Search,Core,ad_C3O1,Tablet,5710,258,29380.56,9,27000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-09,Beta Shop,Brand_JP_Search,RLSA,ad_A5UR,Mobile,14643,136,8604.74,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-09,Beta Shop,Brand_JP_Search,DSA,ad_KO64,Tablet,10388,381,35733.33,10,100000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-09,Beta Shop,Prospecting_Display,Core,ad_0TVH,Desktop,14123,680,32708.64,11,33000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-09,Beta Shop,Prospecting_Display,RLSA,ad_JRNY,Mobile,10137,145,15213.08,2,11000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-09,Beta Shop,Prospecting_Display,DSA,ad_0479,Tablet,1339,13,2293.4,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-10,ACME Inc.,Brand_JP_Search,Core,ad_AOUA,Tablet,8112,149,14537.77,3,9000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-10,ACME Inc.,Brand_JP_Search,RLSA,ad_P5GJ,Mobile,2381,22,3776.84,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-10,ACME Inc.,Brand_JP_Search,DSA,ad_HL1N,Mobile,10936,267,45545.39,8,24000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-10,ACME Inc.,Prospecting_Display,Core,ad_JCAT,Mobile,5924,42,3893.6,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-10,ACME Inc.,Prospecting_Display,RLSA,ad_IC8B,Desktop,15312,346,50149.57,5,50000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-10,ACME Inc.,Prospecting_Display,DSA,ad_8HAF,Desktop,7738,240,11734.0,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-10,Beta Shop,Brand_JP_Search,Core,ad_RE8Q,Mobile,1184,8,404.4,0,0,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-10,Beta Shop,Brand_JP_Search,RLSA,ad_1GV0,Desktop,10660,531,62530.79,15,45000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-10,Beta Shop,Brand_JP_Search,DSA,ad_2FLU,Mobile,5609,243,18134.78,4,22000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-10,Beta Shop,Prospecting_Display,Core,ad_U6N7,Desktop,2848,137,17106.43,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-10,Beta Shop,Prospecting_Display,RLSA,ad_CYWD,Mobile,13575,451,40654.39,3,16500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-10,Beta Shop,Prospecting_Display,DSA,ad_4VE9,Desktop,17433,504,74654.79,10,30000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-11,ACME Inc.,Brand_JP_Search,Core,ad_MPNS,Mobile,9227,283,46053.02,5,50000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-11,ACME Inc.,Brand_JP_Search,RLSA,ad_APRP,Mobile,16054,630,79911.3,16,160000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-11,ACME Inc.,Brand_JP_Search,DSA,ad_W3ZP,Tablet,16581,550,97495.63,12,66000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-11,ACME Inc.,Prospecting_Display,Core,ad_SXW7,Mobile,7741,235,12393.97,6,18000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-11,ACME Inc.,Prospecting_Display,RLSA,ad_Q3VL,Desktop,10350,243,30883.39,7,21000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-11,ACME Inc.,Prospecting_Display,DSA,ad_3D5I,Mobile,5692,71,12050.28,1,3000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-11,Beta Shop,Brand_JP_Search,Core,ad_UYMR,Mobile,8741,242,20818.1,6,60000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-11,Beta Shop,Brand_JP_Search,RLSA,ad_GH2M,Tablet,7054,82,4749.97,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-11,Beta Shop,Brand_JP_Search,DSA,ad_ZJA8,Desktop,13447,493,48132.86,15,150000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-11,Beta Shop,Prospecting_Display,Core,ad_IOTI,Mobile,4988,243,30197.84,2,6000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-11,Beta Shop,Prospecting_Display,RLSA,ad_XR2D,Desktop,13691,292,12980.18,6,18000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-11,Beta Shop,Prospecting_Display,DSA,ad_OIXN,Tablet,7176,155,25604.51,1,5500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-12,ACME Inc.,Brand_JP_Search,Core,ad_TP0L,Tablet,14924,301,15929.13,6,33000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-12,ACME Inc.,Brand_JP_Search,RLSA,ad_QLIZ,Mobile,11278,322,19956.55,5,15000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-12,ACME Inc.,Brand_JP_Search,DSA,ad_ET1G,Desktop,14368,140,17306.65,5,50000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-12,ACME Inc.,Prospecting_Display,Core,ad_0JV1,Tablet,17822,832,60782.85,23,126500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-12,ACME Inc.,Prospecting_Display,RLSA,ad_KDGI,Desktop,12279,463,22560.97,4,40000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-12,ACME Inc.,Prospecting_Display,DSA,ad_KZEB,Desktop,5926,215,34017.66,6,18000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-12,Beta Shop,Brand_JP_Search,Core,ad_TZE5,Mobile,8473,183,17495.34,1,10000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-12,Beta Shop,Brand_JP_Search,RLSA,ad_DAKR,Mobile,13572,190,22601.47,6,33000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-12,Beta Shop,Brand_JP_Search,DSA,ad_GB7R,Desktop,17309,195,32111.39,4,22000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=brand_jp_search
2025-07-12,Beta Shop,Prospecting_Display,Core,ad_OCWB,Desktop,9058,313,33535.29,7,38500,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
2025-07-12,Beta Shop,Prospecting_Display,RLSA,ad_38DI,Tablet,15169,463,56539.23,10,55000,https://example.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=prospecting_display
